votesR,seatsR,votesD,seatsD
0,0,0,0
0.837524466654,0.0,0.162475533346,0.0
1.83752446665,0.0,1.16247553335,0.0
2.83752446665,0.0,2.16247553335,0.0
3.83752446665,0.0,3.16247553335,0.0
4.83752446665,0.0,4.16247553335,0.0
5.83752446665,0.0,5.16247553335,0.0
6.83752446665,0.0,6.16247553335,0.0
7.83752446665,0.0,7.16247553335,0.0
8.83752446665,0.0,8.16247553335,0.0
9.83752446665,0.0,9.16247553335,0.0
10.8375244667,0.0,10.1624755333,0.0
11.8375244667,0.0,11.1624755333,0.0
12.8375244667,0.0,12.1624755333,0.0
13.8375244667,0.0,13.1624755333,0.0
14.8375244667,0.0,14.1624755333,0.0
15.8375244667,0.0,15.1624755333,0.0
16.8375244667,0.0,16.1624755333,1.24166666667
17.8375244667,0.0,17.1624755333,2.6
18.8375244667,0.0,18.1624755333,4.04166666667
19.8375244667,0.0,19.1624755333,5.575
20.8375244667,0.0,20.1624755333,6.78333333333
21.8375244667,0.0,21.1624755333,8.33333333333
22.8375244667,0.0,22.1624755333,8.33333333333
23.8375244667,0.0,23.1624755333,9.675
24.8375244667,0.0,24.1624755333,11.0416666667
25.8375244667,0.0,25.1624755333,12.5
26.8375244667,0.0,26.1624755333,13.8833333333
27.8375244667,0.0,27.1624755333,15.2166666667
28.8375244667,0.0,28.1624755333,16.6666666667
29.8375244667,1.56666666667,29.1624755333,16.6666666667
30.8375244667,2.43333333333,30.1624755333,16.6666666667
31.8375244667,4.175,31.1624755333,16.6666666667
32.8375244667,5.78333333333,32.1624755333,18.1416666667
33.8375244667,8.34166666667,33.1624755333,19.3
34.8375244667,12.4333333333,34.1624755333,20.7416666667
35.8375244667,16.6666666667,35.1624755333,22.2583333333
36.8375244667,21.2916666667,36.1624755333,23.5083333333
37.8375244667,25.1083333333,37.1624755333,26.6333333333
38.8375244667,29.3583333333,38.1624755333,27.8333333333
39.8375244667,33.35,39.1624755333,30.5916666667
40.8375244667,35.9083333333,40.1624755333,33.0416666667
41.8375244667,37.5166666667,41.1624755333,36.125
42.8375244667,38.8416666667,42.1624755333,40.425
43.8375244667,40.3833333333,43.1624755333,43.1083333333
44.8375244667,41.6666666667,44.1624755333,45.9416666667
46.8375244667,45.675,45.1624755333,47.2
47.8375244667,47.1333333333,46.1624755333,48.5416666667
48.8375244667,48.6,47.1624755333,50.0
49.8375244667,50.0,48.1624755333,50.0
50.8375244667,50.0,49.1624755333,50.0
51.8375244667,50.0,50.1624755333,50.0
52.8375244667,50.0,51.1624755333,51.4
53.8375244667,51.4583333333,52.1624755333,52.8666666667
54.8375244667,52.8,53.1624755333,54.325
55.8375244667,54.0583333333,55.1624755333,58.3333333333
56.8375244667,56.8916666667,56.1624755333,59.6166666667
57.8375244667,59.575,57.1624755333,61.1583333333
58.8375244667,63.875,58.1624755333,62.4833333333
59.8375244667,66.9583333333,59.1624755333,64.0916666667
60.8375244667,69.4083333333,60.1624755333,66.65
61.8375244667,72.1666666667,61.1624755333,70.6416666667
62.8375244667,73.3666666667,62.1624755333,74.8916666667
63.8375244667,76.4916666667,63.1624755333,78.7083333333
64.8375244667,77.7416666667,64.1624755333,83.3333333333
65.8375244667,79.2583333333,65.1624755333,87.5666666667
66.8375244667,80.7,66.1624755333,91.6583333333
67.8375244667,81.8583333333,67.1624755333,94.2166666667
68.8375244667,83.3333333333,68.1624755333,95.825
69.8375244667,83.3333333333,69.1624755333,97.5666666667
70.8375244667,83.3333333333,70.1624755333,98.4333333333
71.8375244667,83.3333333333,71.1624755333,100.0
72.8375244667,84.7833333333,72.1624755333,100.0
73.8375244667,86.1166666667,73.1624755333,100.0
74.8375244667,87.5,74.1624755333,100.0
75.8375244667,88.9583333333,75.1624755333,100.0
76.8375244667,90.325,76.1624755333,100.0
77.8375244667,91.6666666667,77.1624755333,100.0
78.8375244667,91.6666666667,78.1624755333,100.0
79.8375244667,93.2166666667,79.1624755333,100.0
80.8375244667,94.425,80.1624755333,100.0
81.8375244667,95.9583333333,81.1624755333,100.0
82.8375244667,97.4,82.1624755333,100.0
83.8375244667,98.7583333333,83.1624755333,100.0
84.8375244667,100.0,84.1624755333,100.0
85.8375244667,100.0,85.1624755333,100.0
86.8375244667,100.0,86.1624755333,100.0
87.8375244667,100.0,87.1624755333,100.0
88.8375244667,100.0,88.1624755333,100.0
89.8375244667,100.0,89.1624755333,100.0
90.8375244667,100.0,90.1624755333,100.0
91.8375244667,100.0,91.1624755333,100.0
92.8375244667,100.0,92.1624755333,100.0
93.8375244667,100.0,93.1624755333,100.0
94.8375244667,100.0,94.1624755333,100.0
95.8375244667,100.0,95.1624755333,100.0
96.8375244667,100.0,96.1624755333,100.0
97.8375244667,100.0,97.1624755333,100.0
98.8375244667,100.0,98.1624755333,100.0
99.8375244667,100.0,99.1624755333,100.0
100,100,100,100
